Date,x,y,BroadTopic,Topic,SubTopic,category_id
2012,7.566444395789473,5.520817794736841,1,5.0,,28
2016,6.55102412,5.869138705714286,1,5.0,,28
2020,6.434457150000001,5.743381296666667,1,5.0,,28
1960,2.0967703396551722,4.422780612068966,0,6.0,,29
1976,2.464694178846154,4.343990257692309,0,6.0,,29
1980,2.5555922043478265,4.390007043478262,0,6.0,,29
1984,2.6090006931034484,4.413775903448276,0,6.0,,29
1988,2.7438960328571427,4.639023180000001,0,6.0,,29
1992,3.5057192526315784,4.773026685964911,0,6.0,,29
1996,2.9933190999999995,4.599541195833333,0,6.0,,29
2000,2.8650314256923077,4.5223376061538465,0,6.0,,29
2004,3.573592991126761,4.443246808450704,0,6.0,,29
2008,3.235252062711864,4.42968533559322,0,6.0,,29
2012,3.593284686666666,4.573275409333334,0,6.0,,29
2016,4.4233303408695654,4.711357863478261,0,6.0,,29
2020,3.9966940382978717,4.524128036170213,0,6.0,,29
1960,2.643277376470588,8.218885773529411,4,7.0,,30
1976,2.7832980235294116,7.984351694117648,4,7.0,,30
1980,3.5351216166666664,5.266797600000001,4,7.0,,30
1984,2.945019453333333,7.738010773333333,4,7.0,,30
1988,3.3604818243243244,7.553817975675678,4,7.0,,30
1992,2.848776779710144,7.873280039130435,4,7.0,,30
1996,3.2193071511627904,8.191567581395349,4,7.0,,30
2000,3.348249327472528,8.244429858241757,4,7.0,,30
2004,3.338112975862069,7.70972184137931,4,7.0,,30
2008,2.737735814893617,8.230237502127661,4,7.0,,30
2012,2.9217792087500003,8.102931286250001,4,7.0,,30
2016,3.0025466797468354,7.800776083544302,4,7.0,,30
2020,3.163741752542373,8.079119047457628,4,7.0,,30
1960,2.0931564730769234,5.431390017307692,2,8.0,,31
1976,3.3146225380952385,5.324419057142857,2,8.0,,31
1980,2.3626661307692305,5.558066330769231,2,8.0,,31
1984,2.1950686809523807,5.637762085714287,2,8.0,,31
1988,2.137176153125,6.128484737500001,2,8.0,,31
1992,2.5661753412698416,5.722653731111111,2,8.0,,31
1996,1.946399741509434,5.721228716981133,2,8.0,,31
2000,2.189522561818182,5.708172877454546,2,8.0,,31
2004,2.3608978000000005,5.913582903521126,2,8.0,,31
2008,2.1441794619047623,5.911689112698414,2,8.0,,31
2012,2.1351324797297293,5.97207682972973,2,8.0,,31
2016,2.09730585,5.811549829629628,2,8.0,,31
2020,2.0382573333333336,6.037431538888889,2,8.0,,31
1960,5.297516153846154,5.717623987692307,6,9.0,,32
1976,5.406358962068966,7.731244082758621,6,9.0,,32
1980,5.400536396296297,8.101922681481481,6,9.0,,32
1984,5.294708469491526,8.226427310169491,6,9.0,,32
1988,5.4305553828571425,7.214772851428572,6,9.0,,32
1992,6.286414479545454,7.592676443181818,6,9.0,,32
1996,6.558518711764706,7.095058404705884,6,9.0,,32
2000,5.529353092207794,7.646083601038962,6,9.0,,32
2004,5.5182815298850585,7.718286585057471,6,9.0,,32
2008,5.62962973125,7.891026322916666,6,9.0,,32
2012,5.657197334375001,7.788692378125,6,9.0,,32
2016,5.612081197058823,7.813086613235294,6,9.0,,32
2020,5.56218938292683,7.397841653658537,6,9.0,,32
1960,3.3564873,3.2007058,9,10.0,,33
1976,2.9237866,8.012111,9,10.0,,33
1980,5.089587224999999,3.5119677675,9,10.0,,33
1984,3.7082117636363634,3.8497744527272726,9,10.0,,33
1988,5.285337428571428,6.6971158428571425,9,10.0,,33
1992,5.078427658333333,6.310274308333334,9,10.0,,33
1996,5.67545853,6.0412379199999995,9,10.0,,33
2000,4.64493985,6.593842799999999,9,10.0,,33
2004,4.867219540000001,6.073547635,9,10.0,,33
2008,5.606219369565217,6.161014778260869,9,10.0,,33
2012,4.830833236363636,6.102343174242424,9,10.0,,33
2016,4.963025347032967,5.3280786981318675,9,10.0,,33
2020,4.722187570588235,6.21888764117647,9,10.0,,33
1960,4.71191054,1.9118954080000006,0,11.0,,34
1976,4.68627820952381,1.4553018996285714,0,11.0,,34
1980,5.73792935,2.21092275,0,11.0,,34
1984,7.036678019999999,1.5971090399999999,0,11.0,,34
1988,6.98084386,1.855534015,0,11.0,,34
1992,6.800442048192771,1.7767892142168675,0,11.0,,34
1996,5.7551011647058825,1.867105317647059,0,11.0,,34
2000,5.396852719999999,2.47965122,0,11.0,,34
2004,3.1782870605263156,1.3883096342105261,0,11.0,,34
2008,4.690545056521739,1.5173499391304348,0,11.0,,34
2012,6.814506875,1.9391398805555558,0,11.0,,34
2016,6.058442929166667,1.8688280083333335,0,11.0,,34
2020,6.03415029122807,1.6933157105263157,0,11.0,,34
1960,6.645758,7.026717,5,12.0,,35
1976,6.711820669565219,7.405391400000001,5,12.0,,35
1980,5.5856606499999994,7.00196615,5,12.0,,35
1984,5.62628148,5.9264623059999995,5,12.0,,35
1988,6.80538935,7.092933858333333,5,12.0,,35
1992,6.5431382437500005,7.0076246031250005,5,12.0,,35
1996,6.4627166041666655,6.64135769375,5,12.0,,35
2000,6.665733863333334,7.458831837777779,5,12.0,,35
2004,6.48502318064516,6.969637025806452,5,12.0,,35
2008,4.276901,6.674162566666666,5,12.0,,35
2012,6.62390519375,7.00834636875,5,12.0,,35
2016,6.657230833333334,7.215426254545455,5,12.0,,35
2020,6.27251811081081,7.020537616216216,5,12.0,,35
1960,3.445731305555556,4.730993966666667,8,13.0,,36
1976,3.689585163636364,3.6722860454545456,8,13.0,,36
1980,3.647565675,5.2600414749999995,8,13.0,,36
1984,3.4368611923076924,4.931142484615385,8,13.0,,36
1988,3.5416175857142855,4.707694785714287,8,13.0,,36
1992,3.5145108363636366,5.16487260909091,8,13.0,,36
1996,3.2666600769230767,6.476720623076924,8,13.0,,36
2000,3.1163350333333333,5.710856033333333,8,13.0,,36
2004,3.835557634482758,5.07436601724138,8,13.0,,36
